id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
464,1984-01-06 17:14:49.81,36.161,-95.582,5,,,,,ROGERS,OGS,2.5,M3Hz,OGS,,,,,,2.5,2.5,,,,5,,,0101000020E61000006891ED7C3FE557C0F853E3A59B144240,,
465,1984-01-23 10:37:04.3,35.207,-96.674,5,,,,,SEMINOLE,OGS,1.5,M3Hz,OGS,,,,,,1.5,1.7,,,,,,,0101000020E61000004260E5D0222B58C0D122DBF97E9A4140,,
466,1984-01-23 11:01:56.21,35.234,-96.69,5,,,,,SEMINOLE,OGS,2.2,M3Hz,OGS,,,,,,2.2,2.1,,,,,,,0101000020E61000005C8FC2F5282C58C0CBA145B6F39D4140,,
467,1984-01-24 15:34:09.63,35.033,-96.366,5,,,,,HUGHES,OGS,3.1,M3Hz,OGS,,,2.8,,,3.1,2.7,,,,5,,,0101000020E61000008195438B6C1758C04E62105839844140,,
468,1984-02-03 04:38:28.04,34.665,-97.356,5,,,,,GARVIN,OGS,3.2,mbLg,USGS,,,3.2,3.2,,,3.1,,,,5,,,0101000020E6100000105839B4C85658C085EB51B81E554140,,
469,1984-02-10 18:39:13.56,34.049,-97.415,5,,,,,LOVE,OGS,2.4,M3Hz,OGS,,,,,,2.4,2.2,,,,4,,,0101000020E6100000C3F5285C8F5A58C083C0CAA145064140,,
470,1984-02-20 01:47:22,36.87,-98.087,5,,,,,GRANT,OGS,2.1,M3Hz,OGS,,,,,,2.1,2,,,,,,,0101000020E610000021B07268918558C08FC2F5285C6F4240,,
471,1984-02-20 11:48:49.51,35.485,-96.358,5,,,,,OKFUSKEE,OGS,2.3,M3Hz,OGS,,,,,,2.3,2.1,,,,,,,0101000020E6100000F4FDD478E91658C0AE47E17A14BE4140,,
472,1984-03-03 11:42:02.36,35.514,-96.301,5,,,,,OKFUSKEE,OGS,2.7,M3Hz,OGS,,,2.6,,,2.7,2.7,,,,5,,,0101000020E610000025068195431358C06F1283C0CAC14140,,
473,1984-03-16 17:13:30.18,35.117,-96.315,5,,,,,HUGHES,OGS,2.5,M3Hz,OGS,,,2.1,,,2.5,2.3,,,,,,,0101000020E61000005C8FC2F5281458C0E5D022DBF98E4140,,
474,1984-04-18 08:36:37.22,35.922,-96.074,5,,,,,CREEK,OGS,1.2,M3Hz,OGS,,,,,,1.2,1.5,,,,,,,0101000020E6100000DBF97E6ABC0458C0BC74931804F64140,,
475,1984-04-21 05:38:02.16,35.233,-95.563,5,,,,,PITTSBURG,OGS,1.9,M3Hz,OGS,,,1.5,,,1.9,1.8,,,,,,,0101000020E610000079E9263108E457C0E7FBA9F1D29D4140,,
476,1984-04-28 22:55:40.71,36.297,-95.921,5,,,,,TULSA,OGS,1.1,M3Hz,OGS,,,,,,1.1,1.1,,,,,,,0101000020E61000006DE7FBA9F1FA57C0BC74931804264240,,
477,1984-05-27 12:13:27.31,34.889,-96.965,5,,,,,MCCLAIN,OGS,2.1,M3Hz,OGS,,,1.7,,,2.1,2,,,,,,,0101000020E6100000F6285C8FC23D58C06F1283C0CA714140,,
478,1984-05-31 02:36:58.32,35.735,-98.903,5,,,,,CUSTER,OGS,1.5,M3Hz,OGS,,,,,,1.5,2,,,,,,,0101000020E61000006F1283C0CAB958C0AE47E17A14DE4140,,
479,1984-06-03 08:14:13.11,35.895,-97.593,5,,,,,LOGAN,OGS,2,M3Hz,OGS,,,,,,2,2.2,,,,,,,0101000020E6100000CBA145B6F36558C0C3F5285C8FF24140,,
