id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
417,1983-01-10 17:06:43.75,36.704,-98.107,3.9,,,,,GRANT,OGS,2.7,M3Hz,OGS,,,2.5,,,2.7,2.4,,,,,,,0101000020E6100000022B8716D98658C0273108AC1C5A4240,,
418,1983-01-21 00:05:04.58,35.165,-95.282,5,,,,,HASKELL,OGS,1.8,M3Hz,OGS,,,,,,1.8,2,,,,,,,0101000020E6100000355EBA490CD257C085EB51B81E954140,,
419,1983-02-01 07:19:38.08,35.082,-96.272,5,,,,,HUGHES,OGS,1.7,M3Hz,OGS,,,,,,1.7,1.3,,,,,,,0101000020E6100000C520B072681158C0D122DBF97E8A4140,,
420,1983-02-17 19:51:00.43,35.862,-96.067,5,,,,,CREEK,OGS,1.7,M3Hz,OGS,,,,,,1.7,1.9,,,,,,,0101000020E61000003F355EBA490458C07593180456EE4140,,
421,1983-02-19 00:59:32.94,35.399,-95.975,5,,,,,OKMULGEE,OGS,1.7,M3Hz,OGS,,,1.3,,,1.7,1.7,,,,,,,0101000020E61000006666666666FE57C0508D976E12B34140,,
422,1983-03-10 08:06:04.14,35.035,-96.202,2.5,,,,,HUGHES,OGS,2.6,M3Hz,OGS,,,2.3,,,2.6,2.6,,,,,,,0101000020E6100000B0726891ED0C58C014AE47E17A844140,,
423,1983-03-11 16:50:48.26,36.827,-100.115,5,,,,,BEAVER,OGS,2.9,M3Hz,OGS,,,2.8,,,2.9,2.8,,,,,,,0101000020E61000008FC2F5285C0759C060E5D022DB694240,,
424,1983-03-13 10:17:20.85,35.309,-96.557,5,,,,,SEMINOLE,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E6100000CFF753E3A52358C0643BDF4F8DA74140,,
425,1983-03-28 09:32:24.86,34.635,-96.561,5,,,,,PONTOTOC,OGS,2.1,M3Hz,OGS,,,,,,2.1,1.9,,,,,,,0101000020E610000096438B6CE72358C0E17A14AE47514140,,
426,1983-05-15 04:00:23.58,34.827,-98.36,5,,,,,COMANCHE,OGS,2.8,M3Hz,OGS,,,2.7,,,2.8,2.6,,,,,,,0101000020E6100000D7A3703D0A9758C060E5D022DB694140,,
427,1983-05-16 21:08:21.08,34.718,-99.883,5,,,,,HARMON,OGS,2.8,M3Hz,OGS,,,2.8,,,2.8,2.5,,,,,,,0101000020E61000008D976E1283F858C096438B6CE75B4140,,
428,1983-06-21 18:32:59.87,34.959,-97.405,5,,,,,MCCLAIN,OGS,2.6,M3Hz,OGS,,,2.9,,,2.6,2.5,,,,,,,0101000020E610000052B81E85EB5958C0986E1283C07A4140,,
429,1983-06-22 05:29:52.24,35.932,-96.037,5,,,,,CREEK,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.8,,,,,,,0101000020E6100000EE7C3F355E0258C09EEFA7C64BF74140,,
430,1983-06-22 05:35:46.13,35.321,-96.623,5,,,,,SEMINOLE,OGS,1.8,M3Hz,OGS,,,1.3,,,1.8,,,,,,,,0101000020E61000001D5A643BDF2758C00C022B8716A94140,,
431,1983-06-22 09:10:47.07,35.932,-96.043,5,,,,,CREEK,OGS,1.3,M3Hz,OGS,,,,,,1.3,1.3,,,,,,,0101000020E6100000986E1283C00258C09EEFA7C64BF74140,,
432,1983-07-05 20:02:25.84,34.667,-96.519,5,,,,,PONTOTOC,OGS,2.4,M3Hz,OGS,,,2.4,,,2.4,2.3,,,,,,,0101000020E6100000F0A7C64B372158C04C37894160554140,,
433,1983-07-08 06:50:21.36,35.946,-96.054,5,,,,,CREEK,OGS,1.6,M3Hz,OGS,,,,,,1.6,2,,,,,,,0101000020E6100000FA7E6ABC740358C00C022B8716F94140,,
434,1983-07-24 21:59:58.71,35.95,-96.054,5,,,,,CREEK,OGS,1,M3Hz,OGS,,,,,,1,1.5,,,,,,,0101000020E6100000FA7E6ABC740358C09A99999999F94140,,
435,1983-07-26 10:10:56.69,35.489,-95.518,5,,,,,MCINTOSH,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.9,,,,,,,0101000020E6100000FED478E926E157C03BDF4F8D97BE4140,,
