id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
1348,1997-01-03 23:20:25.5,35.625,-97.792,5,,,,,CANADIAN,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E6100000A69BC420B07258C00000000000D04140,,
1349,1997-01-10 13:55:16.77,36.128,-98.427,5,,,,,BLAINE,OGS,2.2,M3Hz,OGS,,,2.1,,,2.2,1.7,,,,,,,0101000020E610000017D9CEF7539B58C0AAF1D24D62104240,,
1350,1997-01-10 14:03:26.83,34.479,-97.374,5,,,,,CARTER,OGS,1.7,M3Hz,OGS,,,,,,1.7,1.3,,,,,,,0101000020E61000000E2DB29DEF5758C05A643BDF4F3D4140,,
1351,1997-01-10 14:16:38.79,35.786,-98.195,5,,,,,KINGFISHER,OGS,1.3,Md,OGS,,,,,,,1.3,,,,,,,0101000020E610000014AE47E17A8C58C0F853E3A59BE44140,,
1352,1997-01-10 14:20:16.39,34.723,-97.437,5,,,,,GARVIN,OGS,2.3,M3Hz,OGS,,,2,,,2.3,1.8,,,,,,,0101000020E61000008716D9CEF75B58C0068195438B5C4140,,
1353,1997-01-10 14:33:00.53,35.071,-97.591,5,,,,,MCCLAIN,OGS,1.3,Md,OGS,,,,,,,1.3,,,,,,,0101000020E6100000E7FBA9F1D26558C00C022B8716894140,,
1354,1997-01-10 14:36:12.31,34.735,-97.446,5,,,,,GARVIN,OGS,1.9,M3Hz,OGS,,,,,,1.9,1.5,,,,,,,0101000020E6100000068195438B5C58C0AE47E17A145E4140,,
1355,1997-01-10 14:44:18.42,34.726,-97.463,5,,,,,GARVIN,OGS,1.8,M3Hz,OGS,,,,,,1.8,1.5,,,,,,,0101000020E61000001283C0CAA15D58C0B0726891ED5C4140,,
1356,1997-01-10 14:58:01.79,34.716,-97.437,5,,,,,GARVIN,OGS,2.5,M3Hz,OGS,,,2.3,,,2.5,1.9,,,,,,,0101000020E61000008716D9CEF75B58C0CFF753E3A55B4140,,
1357,1997-01-10 15:17:08.4,34.663,-97.416,5,,,,,GARVIN,OGS,2.1,M3Hz,OGS,,,2,,,2.1,1.6,,,,,,,0101000020E6100000B4C876BE9F5A58C0BE9F1A2FDD544140,,
1358,1997-01-10 15:45:22.28,34.765,-97.432,5,,,,,GARVIN,OGS,2.2,M3Hz,OGS,,,1.9,,,2.2,1.7,,,,,,,0101000020E6100000CFF753E3A55B58C052B81E85EB614140,,
