id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
920,1993-01-11 04:46:47.59,35.15,-96.02,5,,,,,HUGHES,OGS,1.3,M3Hz,OGS,,,,,,1.3,,,,,,,,0101000020E6100000E17A14AE470158C03333333333934140,,
921,1993-01-14 17:06:10.45,35.595,-98.275,5,,,,,CANADIAN,OGS,3.2,M3Hz,OGS,,,3.1,3.1,,3.2,,,,,4,,,0101000020E61000009A999999999158C05C8FC2F528CC4140,,
922,1993-01-21 07:49:08.28,34.89,-96.31,5,,,,,HUGHES,OGS,2.1,M3Hz,OGS,,,,,,2.1,2.2,,,,,,,0101000020E6100000A4703D0AD71358C052B81E85EB714140,,
923,1993-01-21 08:19:03.68,34.86,-95.02,5,,,,,LATIMER,OGS,2.6,M3Hz,OGS,,,,,,2.6,2.3,,,,,,,0101000020E6100000E17A14AE47C157C0AE47E17A146E4140,,
6073,1993-01-30 04:42:53.34,34.04,-97.1,5,,,,0,,USGS,2,mbLg,USGS,,,,2,,,,,,,,,,0101000020E610000066666666664658C085EB51B81E054140,,
924,1993-01-30 04:43:53.34,34.04,-97.1,5,,,,,LOVE,OGS,1.8,M3Hz,OGS,,,2,,,1.8,2.1,,,,2,,,0101000020E610000066666666664658C085EB51B81E054140,,
925,1993-02-13 19:45:03.36,34.716,-97.541,5,,,,,GARVIN,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E6100000B4C876BE9F6258C0CFF753E3A55B4140,,
926,1993-02-13 20:57:24.55,34.748,-97.573,5,,,,,GARVIN,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E6100000E9263108AC6458C039B4C876BE5F4140,,
927,1993-02-14 23:12:38,34.79,-97.456,5,,,,,GARVIN,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E610000077BE9F1A2F5D58C085EB51B81E654140,,
928,1993-03-11 01:15:01.08,35.23,-95.932,5,,,,,MCINTOSH,OGS,2.7,mbLg,OGS,,,2.7,,,,2.4,,,,3,,,0101000020E6100000CFF753E3A5FB57C03D0AD7A3709D4140,,
929,1993-03-11 02:05:50.39,35.301,-95.949,5,,,,,MCINTOSH,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E6100000DBF97E6ABCFC57C04A0C022B87A64140,,
930,1993-03-17 17:21:25.68,34.82,-97.557,5,,,,,GARVIN,OGS,2.3,M3Hz,OGS,,,2.2,,,2.3,2.2,,,,,,,0101000020E6100000CFF753E3A56358C0295C8FC2F5684140,,
931,1993-03-24 10:37:29.06,34.835,-97.666,5,,,,,GARVIN,OGS,2.2,M3Hz,OGS,,,2.2,,,2.2,2.1,,,,,,,0101000020E6100000B4C876BE9F6A58C07B14AE47E16A4140,,
932,1993-03-26 02:52:17.17,34.773,-97.401,5,,,,,GARVIN,OGS,2.1,M3Hz,OGS,,,2,,,2.1,2,,,,,,,0101000020E61000008B6CE7FBA95958C06DE7FBA9F1624140,,
933,1993-04-06 07:56:03.78,34.911,-97.514,5,,,,,MCCLAIN,OGS,2.3,M3Hz,OGS,,,2.3,,,2.3,2.2,,,,,,,0101000020E610000037894160E56058C0F853E3A59B744140,,
934,1993-04-13 18:15:20.31,34.913,-97.494,5,,,,,MCCLAIN,OGS,2.1,M3Hz,OGS,,,1.8,,,2.1,1.9,,,,,,,0101000020E6100000560E2DB29D5F58C0BE9F1A2FDD744140,,
935,1993-05-07 16:41:35.42,34.593,-97.463,5,,,,,GARVIN,OGS,2.6,M3Hz,OGS,,,,,,2.6,2.3,,,,,,,0101000020E61000001283C0CAA15D58C096438B6CE74B4140,,
936,1993-05-07 17:50:37.7,34.738,-97.541,5,,,,,GARVIN,OGS,2.4,M3Hz,OGS,,,3.1,,,2.4,2.1,,,,,,,0101000020E6100000B4C876BE9F6258C05839B4C8765E4140,,
937,1993-05-09 22:52:11.19,34.898,-97.533,5,,,,,MCCLAIN,OGS,2.8,M3Hz,OGS,,,2.6,,,2.8,2.3,,,,,,,0101000020E6100000273108AC1C6258C06DE7FBA9F1724140,,
938,1993-05-19 20:22:26.87,34.698,-94.912,5,,,,,LE FLORE,OGS,2.2,M3Hz,OGS,,,2,,,2.2,1.5,,,,,,,0101000020E6100000EE7C3F355EBA57C0D34D621058594140,,
939,1993-05-26 09:21:55.59,34.85,-95.602,5,,,,,PITTSBURG,OGS,1.3,M3Hz,OGS,,,,,,1.3,1.6,,,,,,,0101000020E61000004A0C022B87E657C0CDCCCCCCCC6C4140,,
940,1993-05-26 09:39:33.27,34.941,-96.897,5,,,,,PONTOTOC,OGS,1.3,Md,OGS,,,,,,,1.3,,,,,,,0101000020E6100000C520B072683958C09CC420B072784140,,
941,1993-06-10 11:59:00.56,34.792,-97.428,5,,,,,GARVIN,OGS,2.3,M3Hz,OGS,,,2.3,,,2.3,2,,,,,,,0101000020E610000008AC1C5A645B58C04C37894160654140,,
942,1993-06-18 22:57:52.18,34.952,-94.529,5,,,,,LE FLORE,OGS,2.2,M3Hz,OGS,,,,,,2.2,1.9,,,,,,,0101000020E610000060E5D022DBA157C060E5D022DB794140,,
943,1993-07-09 04:18:49.86,35.938,-96.799,5,,,,,LINCOLN,OGS,1,Md,OGS,,,,,,,1,,,,,,,0101000020E61000004260E5D0223358C0F2D24D6210F84140,,
944,1993-07-09 04:28:18.78,34.854,-97.46,5,,,,,GARVIN,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E61000003D0AD7A3705D58C05A643BDF4F6D4140,,
945,1993-07-09 21:38:49.44,34.913,-97.463,5,,,,,MCCLAIN,OGS,2,M3Hz,OGS,,,1.9,,,2,1.9,,,,,,,0101000020E61000001283C0CAA15D58C0BE9F1A2FDD744140,,
946,1993-07-14 00:26:15.48,34.038,-97.158,5,,,,,LOVE,OGS,2.4,mbLg,OGS,,,2.4,,,,2.7,,,,,,,0101000020E6100000273108AC1C4A58C0BE9F1A2FDD044140,,
947,1993-07-16 03:21:43.79,34.716,-97.516,5,,,,,GARVIN,OGS,1.9,mbLg,OGS,,,1.9,,,,1.7,,,,,,,0101000020E61000001B2FDD24066158C0CFF753E3A55B4140,,
948,1993-07-16 03:23:00.18,34.807,-97.557,5,,,,,GARVIN,OGS,2.1,mbLg,OGS,,,2.1,,,,1.8,,,,,,,0101000020E6100000CFF753E3A56358C09EEFA7C64B674140,,
949,1993-07-16 03:37:16.51,34.709,-97.522,5,,,,,GARVIN,OGS,1.9,M3Hz,OGS,,,,,,1.9,1.8,,,,,,,0101000020E6100000C520B072686158C0986E1283C05A4140,,
950,1993-07-16 03:53:39.63,34.623,-97.508,5,,,,,GARVIN,OGS,1.8,M3Hz,OGS,,,,,,1.8,1.7,,,,,,,0101000020E61000008D976E12836058C039B4C876BE4F4140,,
951,1993-07-16 04:12:16.14,34.726,-97.51,5,,,,,GARVIN,OGS,2.1,M3Hz,OGS,,,1.4,,,2.1,2,,,,,,,0101000020E6100000713D0AD7A36058C0B0726891ED5C4140,,
