id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
1465,1998-01-01 20:26:54.2,35.142,-96.981,0.3,,,,,POTTAWATOMIE,OGS,2.2,M3Hz,OGS,,,2.1,,,2.2,2,,,,,,,0101000020E6100000105839B4C83E58C01904560E2D924140,,
1466,1998-01-06 10:16:36.2,35.643,-98.999,0,,,,,CUSTER,OGS,2,M3Hz,OGS,,,1.9,,,2,2.4,,,,,,,0101000020E61000000E2DB29DEFBF58C0FCA9F1D24DD24140,,
1467,1998-01-21 01:35:54.4,34.932,-97.599,5,,,,,MCCLAIN,OGS,1.4,M3Hz,OGS,,,1.6,,,1.4,1.7,,,,,,,0101000020E610000075931804566658C09EEFA7C64B774140,,
1468,1998-01-26 06:57:31.79,36.903,-97.29,5,,,,,KAY,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.8,,,,,,,0101000020E6100000C3F5285C8F5258C0DD24068195734240,,
1469,1998-02-15 08:53:42.95,35.191,-99.209,5,,,,,WASHITA,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E61000004C37894160CD58C09CC420B072984140,,
1470,1998-02-18 10:59:42.22,34.583,-96.063,5,,,,,ATOKA,OGS,1.1,M3Hz,OGS,,,,,,1.1,1.1,,,,,,,0101000020E610000079E92631080458C0B4C876BE9F4A4140,,
1471,1998-03-02 09:09:37.93,34.693,-97.536,3.3,,,,,GARVIN,OGS,1.7,M3Hz,OGS,,,1.6,,,1.7,1.7,,,,,,,0101000020E6100000FCA9F1D24D6258C062105839B4584140,,
1472,1998-03-08 09:28:57.18,34.598,-95.85,5,,,,,PITTSBURG,OGS,1.4,M3Hz,OGS,,,,,,1.4,1.5,,,,,,,0101000020E61000006666666666F657C0068195438B4C4140,,
1473,1998-03-18 15:46:44.38,34.738,-97.48,5,,,,,GARVIN,OGS,2.1,M3Hz,OGS,,,1.8,,,2.1,1.7,,,,,,,0101000020E61000001F85EB51B85E58C05839B4C8765E4140,,
1474,1998-03-18 16:06:34.41,35.681,-98.136,5,,,,,CANADIAN,OGS,1.6,Md,OGS,,,,,,,1.6,,,,,,,0101000020E610000062105839B48858C0BA490C022BD74140,,
1475,1998-03-18 22:33:22.71,34.234,-96.767,8,,,,,JOHNSTON,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E61000000C022B87163158C0CBA145B6F31D4140,,
1476,1998-03-22 02:12:35.81,34.893,-97.478,8.2,,,,,MCCLAIN,OGS,2,M3Hz,OGS,,,1.8,,,2,1.6,,,,,,,0101000020E61000003BDF4F8D975E58C0FCA9F1D24D724140,,
1477,1998-03-22 12:22:49.98,34.87,-96.9,7.2,,,,,PONTOTOC,OGS,1.5,M3Hz,OGS,,,,,,1.5,1.2,,,,,,,0101000020E61000009A999999993958C08FC2F5285C6F4140,,
1478,1998-04-01 15:55:14.52,35.292,-97.658,0.2,,,,,MCCLAIN,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E6100000273108AC1C6A58C04C37894160A54140,,
1479,1998-04-01 19:50:30.86,35.512,-97.87,5,,,,,CANADIAN,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E610000048E17A14AE7758C0A8C64B3789C14140,,
1480,1998-04-01 23:26:34.59,35.239,-95.701,5.1,,,,,MCINTOSH,OGS,1.7,M3Hz,OGS,,,1.6,,,1.7,1.9,,,,,,,0101000020E6100000BE9F1A2FDDEC57C03BDF4F8D979E4140,,
1481,1998-04-02 07:10:32.98,34.923,-97.476,2,,,,,MCCLAIN,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E61000005839B4C8765E58C0A01A2FDD24764140,,
1482,1998-04-08 13:34:17.12,34.957,-97.478,2.6,,,,,MCCLAIN,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E61000003BDF4F8D975E58C0D122DBF97E7A4140,,
1483,1998-04-28 14:13:01.27,34.755,-98.447,5,,,,,COMANCHE,OGS,3.9,mb,USGS,,,4.2,4.2,,,,3.9,,,6,,,0101000020E6100000F853E3A59B9C58C0713D0AD7A3604140,,
1484,1998-05-02 16:12:04.11,34.841,-97.728,7.1,,,,,GRADY,OGS,2.3,M3Hz,OGS,,,2.2,,,2.3,1.9,,,,,,,0101000020E61000003BDF4F8D976E58C0CFF753E3A56B4140,,
1485,1998-05-02 16:55:44.44,34.85,-97.691,3.1,,,,,GRADY,OGS,2.2,M3Hz,OGS,,,1.6,,,2.2,1.7,,,,,,,0101000020E61000004E621058396C58C0CDCCCCCCCC6C4140,,
1486,1998-05-02 23:56:04.79,34.252,-96.059,5.2,,,,,ATOKA,OGS,2.2,M3Hz,OGS,,,1.9,,,2.2,1.9,,,,,,,0101000020E6100000B29DEFA7C60358C0C74B378941204140,,
1487,1998-05-04 23:04:53.83,34.243,-96.791,0.7,,,,,JOHNSTON,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E6100000B4C876BE9F3258C0C976BE9F1A1F4140,,
1488,1998-06-02 06:29:32.27,34.66,-97.415,6.3,,,,,GARVIN,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E6100000C3F5285C8F5A58C014AE47E17A544140,,
1489,1998-06-12 09:45:59.44,35.541,-97.445,5,,,,,OKLAHOMA,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E610000014AE47E17A5C58C06891ED7C3FC54140,,
1490,1998-06-30 17:10:44.18,34.8,-97.741,5,,,,,GRADY,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E61000008195438B6C6F58C06666666666664140,,
1491,1998-06-30 17:32:07.05,34.852,-97.74,6.2,,,,,GRADY,OGS,2.3,M3Hz,OGS,,,,,,2.3,1.8,,,,,,,0101000020E61000008FC2F5285C6F58C0931804560E6D4140,,
1492,1998-07-01 00:48:23,34.8,-97.741,7.7,,,,,GRADY,OGS,2.6,M3Hz,OGS,,,2.6,,,2.6,2.3,,,,2,,,0101000020E61000008195438B6C6F58C06666666666664140,,
1493,1998-07-01 08:51:37.53,34.819,-97.721,9.1,,,,,GRADY,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E6100000A01A2FDD246E58C046B6F3FDD4684140,,
1494,1998-07-01 17:29:38.86,35.006,-97.553,5,,,,,MCCLAIN,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E610000008AC1C5A646358C054E3A59BC4804140,,
1495,1998-07-02 00:46:52.38,35.092,-97.725,5,,,,,GRADY,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E610000066666666666E58C0B29DEFA7C68B4140,,
1496,1998-07-02 09:04:20.26,34.855,-97.726,5,,,,,GRADY,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E61000005839B4C8766E58C03D0AD7A3706D4140,,
1497,1998-07-02 21:21:31.53,34.865,-97.731,2.8,,,,,GRADY,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E6100000105839B4C86E58C01F85EB51B86E4140,,
