id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
723,1989-01-05 06:48:46.15,36.575,-95.707,5,,,,,ROGERS,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E61000006891ED7C3FED57C09A99999999494240,,
724,1989-01-24 00:19:03.36,35.511,-95.364,5,,,,,MCINTOSH,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E61000009EEFA7C64BD757C0C520B07268C14140,,
725,1989-01-31 22:58:39.91,34.361,-97.775,5,,,,,STEPHENS,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E61000009A999999997158C091ED7C3F352E4140,,
726,1989-01-31 23:15:06.39,34.918,-97.472,5,,,,,MCCLAIN,OGS,2.5,mbLg,OGS,,,2.5,,,,2.6,,,,,,,0101000020E610000091ED7C3F355E58C02FDD240681754140,,
727,1989-02-07 22:22:46.67,34.386,-96.831,5,,,,,JOHNSTON,OGS,2.1,M3Hz,OGS,,,2,,,2.1,2.2,,,,,,,0101000020E610000077BE9F1A2F3558C0C520B07268314140,,
728,1989-02-20 11:59:18.01,35.324,-96.464,5,,,,,SEMINOLE,OGS,2,M3Hz,OGS,,,,,,2,2.1,,,,,,,0101000020E610000004560E2DB21D58C0B6F3FDD478A94140,,
729,1989-02-23 00:43:55.66,35.212,-95.862,5,,,,,MCINTOSH,OGS,1.4,Md,OGS,,,,,,,1.4,,,,,,,0101000020E6100000BA490C022BF757C04260E5D0229B4140,,
730,1989-03-08 00:31:29.99,34.431,-96.253,5,,,,,COAL,OGS,2.5,M3Hz,OGS,,,2.3,,,2.5,2.5,,,,,,,0101000020E6100000D578E926311058C0BA490C022B374140,,
731,1989-04-02 07:20:40.27,34.664,-96.859,5,,,,,PONTOTOC,OGS,2,M3Hz,OGS,,,,,,2,1.9,,,,,,,0101000020E6100000E5D022DBF93658C0A245B6F3FD544140,,
732,1989-04-14 03:57:43.34,34.778,-97.562,5,,,,,GARVIN,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E61000008716D9CEF76358C0DD24068195634140,,
733,1989-04-14 06:53:04.03,34.774,-97.562,5,,,,,GARVIN,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E61000008716D9CEF76358C0508D976E12634140,,
734,1989-04-19 20:06:36.95,34.313,-97.089,5,,,,,CARTER,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E610000004560E2DB24558C0F2D24D6210284140,,
735,1989-05-03 01:21:58.12,34.912,-99.475,5,,,,,GREER,OGS,2.1,M3Hz,OGS,,,,,,2.1,2.2,,,,,,,0101000020E61000006666666666DE58C0DBF97E6ABC744140,,
736,1989-05-03 05:53:00.45,34.91,-96.317,5,,,,,HUGHES,OGS,1.5,Md,OGS,,,,,,,1.5,,,,,,,0101000020E61000003F355EBA491458C014AE47E17A744140,,
737,1989-05-03 07:09:54.89,36.665,-99.408,5,,,,,HARPER,OGS,1.9,M3Hz,OGS,,,,,,1.9,2.3,,,,,,,0101000020E6100000273108AC1CDA58C085EB51B81E554240,,
