id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
500,1985-01-23 00:39:48.68,34.352,-96.826,5,,,,,JOHNSTON,OGS,2.1,M3Hz,OGS,,,2.1,,,2.1,2.2,,,,,,,0101000020E6100000BE9F1A2FDD3458C0931804560E2D4140,,
501,1985-01-24 12:12:42.4,34.924,-97.427,5,,,,,MCCLAIN,OGS,2.5,M3Hz,OGS,,,2.5,,,2.5,2.5,,,,,,,0101000020E610000017D9CEF7535B58C083C0CAA145764140,,
502,1985-02-01 09:07:24.89,34.143,-97.449,5,,,,,CARTER,OGS,1.8,M3Hz,OGS,,,2,,,1.8,2.1,,,,,,,0101000020E6100000DBF97E6ABC5C58C0FCA9F1D24D124140,,
503,1985-02-10 14:15:52.21,36.433,-98.412,5,,,,,MAJOR,OGS,3,M3Hz,OGS,,,2.8,,,3,2.7,,,,,,,0101000020E6100000EE7C3F355E9A58C08195438B6C374240,,
504,1985-02-28 17:56:57.73,34.661,-95.339,5,,,,,PUSHMATAHA,OGS,2.4,M3Hz,OGS,,,2.3,,,2.4,2.3,,,,,,,0101000020E610000004560E2DB2D557C0F853E3A59B544140,,
505,1985-03-15 05:22:09.32,34.758,-97.437,5,,,,,GARVIN,OGS,1.7,M3Hz,OGS,,,1.9,,,1.7,2.1,,,,,,,0101000020E61000008716D9CEF75B58C01B2FDD2406614140,,
506,1985-04-14 07:19:05.41,36.691,-99.806,5,,,,,HARPER,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.8,,,,,,,0101000020E6100000DD24068195F358C09CC420B072584240,,
507,1985-04-17 05:39:49.06,36.141,-99.495,5,,,,,ELLIS,OGS,2,M3Hz,OGS,,,,,,2,2.2,,,,,,,0101000020E610000048E17A14AEDF58C0355EBA490C124240,,
508,1985-04-24 10:31:58.77,35.101,-97.71,5,,,,,GRADY,OGS,1.9,M3Hz,OGS,,,,,,1.9,2,,,,,,,0101000020E61000003D0AD7A3706D58C0B0726891ED8C4140,,
509,1985-05-03 07:33:40.4,34.656,-97.484,5,,,,,GARVIN,OGS,2.5,M3Hz,OGS,,,2.5,,,2.5,2.6,,,,4,,,0101000020E6100000E5D022DBF95E58C08716D9CEF7534140,,
510,1985-05-03 11:35:47.06,34.647,-97.54,5,,,,,GARVIN,OGS,2.1,M3Hz,OGS,,,1.9,,,2.1,2.1,,,,,,,0101000020E6100000C3F5285C8F6258C0894160E5D0524140,,
511,1985-05-04 12:05:19,34.807,-97.549,5,,,,,GARVIN,OGS,2,M3Hz,OGS,,,2,,,2,2.3,,,,,,,0101000020E61000004260E5D0226358C09EEFA7C64B674140,,
512,1985-05-05 01:39:30.78,34.664,-97.529,5,,,,,GARVIN,OGS,3,M3Hz,OGS,,,2.9,,,3,2.8,,,,2,,,0101000020E610000060E5D022DB6158C0A245B6F3FD544140,,
513,1985-05-05 02:16:02.65,34.836,-97.455,5,,,,,GARVIN,OGS,2.4,M3Hz,OGS,,,2.2,,,2.4,2.3,,,,2,,,0101000020E610000085EB51B81E5D58C05EBA490C026B4140,,
514,1985-05-05 20:27:47.26,34.91,-97.541,5,,,,,MCCLAIN,OGS,1.8,M3Hz,OGS,,,1.8,,,1.8,1.9,,,,,,,0101000020E6100000B4C876BE9F6258C014AE47E17A744140,,
515,1985-05-05 21:29:15.95,34.508,-97.323,5,,,,,GARVIN,OGS,1.3,M3Hz,OGS,,,,,,1.3,1.6,,,,,,,0101000020E6100000E9263108AC5458C01B2FDD2406414140,,
516,1985-05-06 02:11:16.16,34.969,-97.482,5,,,,,MCCLAIN,OGS,2.2,M3Hz,OGS,,,2.3,,,2.2,2.4,,,,5,,,0101000020E6100000022B8716D95E58C079E92631087C4140,,
517,1985-05-07 17:22:04.91,35.496,-96.727,5.3,,,,,LINCOLN,OGS,2.3,M3Hz,OGS,,,1.9,,,2.3,2.4,,,,,,,0101000020E61000004A0C022B872E58C0736891ED7CBF4140,,
518,1985-05-26 10:00:49.96,35.731,-97.963,5,,,,,KINGFISHER,OGS,2.1,M3Hz,OGS,,,1.7,,,2.1,2.1,,,,,,,0101000020E61000001283C0CAA17D58C021B0726891DD4140,,
519,1985-06-03 07:13:34.47,34.5,-95.851,5,,,,,ATOKA,OGS,2.1,M3Hz,OGS,,,,,,2.1,2,,,,,,,0101000020E61000005839B4C876F657C00000000000404140,,
520,1985-06-06 11:50:18.8,35.188,-96.608,5,,,,,SEMINOLE,OGS,1.8,M3Hz,OGS,,,,,,1.8,1.6,,,,,,,0101000020E6100000F4FDD478E92658C0F2D24D6210984140,,
521,1985-06-22 14:01:55.05,34.345,-96.76,5,,,,,JOHNSTON,OGS,2.1,M3Hz,OGS,,,1.9,,,2.1,2,,,,,,,0101000020E6100000713D0AD7A33058C05C8FC2F5282C4140,,
522,1985-07-12 04:35:37.76,35.863,-97.421,5,,,,,LOGAN,OGS,1.8,M3Hz,OGS,,,1.7,,,1.8,2.2,,,,,,,0101000020E61000006DE7FBA9F15A58C05839B4C876EE4140,,
523,1985-07-27 20:00:08.29,36.24,-97.405,5,,,,,NOBLE,OGS,2.2,M3Hz,OGS,,,,,,2.2,1.8,,,,,,,0101000020E610000052B81E85EB5958C01F85EB51B81E4240,,
524,1985-08-06 19:44:14.58,35.378,-95.008,5,,,,,HASKELL,OGS,2.4,M3Hz,OGS,,,2.5,,,2.4,2,,,,,,,0101000020E61000008D976E1283C057C0AAF1D24D62B04140,,
525,1985-08-11 10:16:23.22,35.964,-99.037,5,,,,,DEWEY,OGS,2.7,M3Hz,OGS,,,,,,2.7,2.5,,,,,,,0101000020E6100000EE7C3F355EC258C008AC1C5A64FB4140,,
526,1985-08-20 18:17:38.35,34.759,-97.482,5,,,,,GARVIN,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E6100000022B8716D95E58C0FED478E926614140,,
527,1985-08-20 18:31:53.24,34.759,-97.482,5,,,,,GARVIN,OGS,1.6,Md,OGS,,,,,,,1.6,,,,,,,0101000020E6100000022B8716D95E58C0FED478E926614140,,
528,1985-08-20 19:37:40.77,34.759,-97.482,5,,,,,GARVIN,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E6100000022B8716D95E58C0FED478E926614140,,
529,1985-08-20 19:43:31.33,34.759,-97.482,5,,,,,GARVIN,OGS,1.5,Md,OGS,,,,,,,1.5,,,,,,,0101000020E6100000022B8716D95E58C0FED478E926614140,,
530,1985-08-20 19:49:51.81,34.759,-97.482,5,,,,,GARVIN,OGS,1.4,Md,OGS,,,,,,,1.4,,,,,,,0101000020E6100000022B8716D95E58C0FED478E926614140,,
531,1985-08-20 19:50:35.1,34.751,-97.498,5,,,,,GARVIN,OGS,2.6,M3Hz,OGS,,,2.3,,,2.6,2.2,,,,,,,0101000020E61000001D5A643BDF5F58C0E3A59BC420604140,,
