id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
361,1982-01-12 23:40:25,34.742,-97.406,5,,,,,GARVIN,OGS,2,M3Hz,OGS,,,,,,2,,,,,,,,0101000020E6100000448B6CE7FB5958C0E5D022DBF95E4140,,
362,1982-01-13 00:56:38.98,34.949,-97.492,5,,,,,MCCLAIN,OGS,2,M3Hz,OGS,,,1.8,,,2,,,,,,,,0101000020E6100000736891ED7C5F58C0B6F3FDD478794140,,
363,1982-01-13 04:04:24.42,34.643,-97.337,5,,,,,GARVIN,OGS,2.4,M3Hz,OGS,,,2.2,,,2.4,2,,,,,,,0101000020E610000021B07268915558C0FCA9F1D24D524140,,
364,1982-01-13 07:04:47.65,34.961,-97.477,5,,,,,MCCLAIN,OGS,2.2,M3Hz,OGS,,,2,,,2.2,2.1,,,,,,,0101000020E61000004A0C022B875E58C05EBA490C027B4140,,
365,1982-01-13 07:13:08.26,35.025,-97.561,5,,,,,MCCLAIN,OGS,1.8,M3Hz,OGS,,,1.8,,,1.8,,,,,,,,0101000020E610000096438B6CE76358C03333333333834140,,
366,1982-01-15 09:52:16.96,35.714,-98.029,5,,,,,CANADIAN,OGS,2.8,M3Hz,OGS,,,2.7,,,2.8,2.6,,,,,,,0101000020E610000060E5D022DB8158C008AC1C5A64DB4140,,
367,1982-03-13 01:41:49.93,35.699,-98.038,5,,,,,CANADIAN,OGS,2.6,M3Hz,OGS,,,2.5,,,2.6,2.6,,,,,,,0101000020E6100000DF4F8D976E8258C0B6F3FDD478D94140,,
368,1982-03-15 06:58:25.6,36.908,-98.226,5,,,,,ALFALFA,OGS,2.4,M3Hz,OGS,,,,,,2.4,2,,,,,,,0101000020E61000005839B4C8768E58C04E62105839744240,,
369,1982-03-15 21:07:50.27,34.934,-97.6,5,,,,,MCCLAIN,OGS,1.8,M3Hz,OGS,,,,,,1.8,1.8,,,,,,,0101000020E610000066666666666658C0643BDF4F8D774140,,
370,1982-03-15 21:18:18.92,34.358,-97.467,5,,,,,CARTER,OGS,1.8,M3Hz,OGS,,,,,,1.8,1.8,,,,,,,0101000020E6100000D9CEF753E35D58C0E7FBA9F1D22D4140,,
371,1982-03-15 21:39:10.98,34.832,-97.608,5,,,,,GARVIN,OGS,2.3,M3Hz,OGS,,,,,,2.3,2.2,,,,,,,0101000020E6100000F4FDD478E96658C0D122DBF97E6A4140,,
372,1982-03-15 22:30:09.37,34.78,-97.6,5,,,,,GARVIN,OGS,2.3,M3Hz,OGS,,,,,,2.3,2.1,,,,,,,0101000020E610000066666666666658C0A4703D0AD7634140,,
373,1982-03-15 23:44:39.84,34.663,-97.6,5,,,,,STEPHENS,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.7,,,,,,,0101000020E610000066666666666658C0BE9F1A2FDD544140,,
374,1982-03-16 00:21:42.02,34.593,-98.805,5,,,,,COMANCHE,OGS,2.4,M3Hz,OGS,,,,,,2.4,1.9,,,,,,,0101000020E6100000EC51B81E85B358C096438B6CE74B4140,,
375,1982-03-16 01:58:56.74,34.895,-97.653,5,,,,,MCCLAIN,OGS,1.5,M3Hz,OGS,,,,,,1.5,1.5,,,,,,,0101000020E61000006F1283C0CA6958C0C3F5285C8F724140,,
376,1982-03-16 06:36:27.9,34.776,-97.623,5,,,,,GARVIN,OGS,1.7,M3Hz,OGS,,,,,,1.7,1.7,,,,,,,0101000020E61000001D5A643BDF6758C017D9CEF753634140,,
377,1982-03-16 20:50:29.41,34.347,-96.961,5,,,,,MURRAY,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E61000002FDD2406813D58C023DBF97E6A2C4140,,
378,1982-03-16 21:01:54.45,34.749,-97.61,5,,,,,GARVIN,OGS,2,M3Hz,OGS,,,,,,2,1.7,,,,,,,0101000020E6100000D7A3703D0A6758C01D5A643BDF5F4140,,
