id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
1106,1995-01-02 08:35:57.61,34.945,-97.459,5,,,,,MCCLAIN,OGS,1.4,M3Hz,OGS,,,,,,1.4,1.6,,,,,,,0101000020E61000004C378941605D58C0295C8FC2F5784140,,
1107,1995-01-04 00:39:35.15,35.999,-97.838,5,,,,,KINGFISHER,OGS,1.8,M3Hz,OGS,,,1.9,,,1.8,2,,,,,,,0101000020E61000001283C0CAA17558C01D5A643BDFFF4140,,
1108,1995-01-06 21:02:15.58,35.451,-96.184,5,,,,,OKFUSKEE,OGS,2.6,M3Hz,OGS,,,,,,2.6,2.4,,,,,,,0101000020E6100000B29DEFA7C60B58C07D3F355EBAB94140,,
1109,1995-01-14 13:30:45.4,34.882,-97.27,5,,,,,MCCLAIN,OGS,2.5,M3Hz,OGS,,,2,,,2.5,2.2,,,,,,,0101000020E6100000E17A14AE475158C037894160E5704140,,
1110,1995-01-18 15:51:39.9,34.712,-97.542,5,,,,,GARVIN,OGS,4.1,M3Hz,OGS,,,4.2,4,,4.1,,,,,6,,,0101000020E6100000A69BC420B06258C04260E5D0225B4140,,
1111,1995-01-18 15:54:30.45,34.676,-97.413,5,,,,,GARVIN,OGS,2.7,M3Hz,OGS,,,2.9,,,2.7,2.4,,,,,,,0101000020E6100000DF4F8D976E5A58C04A0C022B87564140,,
1112,1995-02-13 18:10:47.71,34.739,-97.499,5,,,,,GARVIN,OGS,1.9,M3Hz,OGS,,,,,,1.9,1.6,,,,,,,0101000020E61000000E2DB29DEF5F58C03BDF4F8D975E4140,,
1113,1995-02-14 17:17:25.21,34.923,-97.553,5,,,,,MCCLAIN,OGS,1.8,M3Hz,OGS,,,1.6,,,1.8,2.2,,,,,,,0101000020E610000008AC1C5A646358C0A01A2FDD24764140,,
1114,1995-02-14 17:28:45.78,34.639,-97.835,5,,,,,STEPHENS,OGS,1.6,M3Hz,OGS,,,,,,1.6,2,,,,,,,0101000020E61000003D0AD7A3707558C06F1283C0CA514140,,
1115,1995-02-14 17:30:33.94,34.73,-97.502,5,,,,,GARVIN,OGS,2.1,M3Hz,OGS,,,2.2,,,2.1,2,,,,,,,0101000020E6100000E3A59BC4206058C03D0AD7A3705D4140,,
1116,1995-02-14 17:53:03.94,34.886,-97.44,5,,,,,MCCLAIN,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.8,,,,,,,0101000020E61000005C8FC2F5285C58C0C520B07268714140,,
1117,1995-02-14 18:12:14.74,34.934,-97.583,5,,,,,MCCLAIN,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E61000005A643BDF4F6558C0643BDF4F8D774140,,
1118,1995-02-14 18:18:01.87,34.825,-97.761,5,,,,,GRADY,OGS,1.8,M3Hz,OGS,,,,,,1.8,2.2,,,,,,,0101000020E610000062105839B47058C09A99999999694140,,
1119,1995-02-14 19:37:36.22,34.946,-97.597,5,,,,,MCCLAIN,OGS,2.1,M3Hz,OGS,,,1.8,,,2.1,1.8,,,,,,,0101000020E610000091ED7C3F356658C00C022B8716794140,,
1120,1995-02-14 19:54:35.04,34.692,-97.694,5,,,,,GRADY,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E610000023DBF97E6A6C58C07F6ABC7493584140,,
1121,1995-02-14 20:27:43.64,34.917,-97.569,5,,,,,MCCLAIN,OGS,1.9,M3Hz,OGS,,,,,,1.9,2,,,,,,,0101000020E610000023DBF97E6A6458C04C37894160754140,,
