id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
1720,2004-01-07 02:27:49.32,34.768,-97.801,5,,,,,GRADY,OGS,1.5,Md,OGS,,,,,,,1.5,,,,,,,0101000020E610000025068195437358C0FCA9F1D24D624140,,
1721,2004-01-07 02:52:26.36,34.812,-97.759,5,,,,,GRADY,OGS,1.4,Md,OGS,,,,,,,1.4,,,,,,,0101000020E61000007F6ABC74937058C00E2DB29DEF674140,,
1722,2004-01-08 06:33:38.87,34.838,-97.767,5,,,,,GRADY,OGS,2.3,M3Hz,OGS,,,2.3,,,2.3,2.5,,,,,,,0101000020E61000000C022B87167158C025068195436B4140,,
1723,2004-01-17 15:24:33.27,34.838,-97.726,5,,,,,GRADY,OGS,2.3,Md,OGS,,,,,,,2.3,,,,5,,,0101000020E61000005839B4C8766E58C025068195436B4140,,
1724,2004-01-17 16:35:19.23,34.792,-97.625,5,,,,,GARVIN,OGS,2.4,Md,OGS,,,,,,,2.4,,,,5,,,0101000020E610000000000000006858C04C37894160654140,,
1725,2004-01-19 08:31:31.26,34.093,-97.612,5,,,,,JEFFERSON,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E6100000BA490C022B6758C096438B6CE70B4140,,
1726,2004-01-19 13:56:13.73,34.133,-97.877,5,,,,,JEFFERSON,OGS,2.6,M3Hz,OGS,,,2.4,,,2.6,2.3,,,,,,,0101000020E6100000E3A59BC4207858C01B2FDD2406114140,,
1727,2004-01-19 19:10:07.49,34.225,-96.861,5,,,,,JOHNSTON,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E6100000C976BE9F1A3758C0CDCCCCCCCC1C4140,,
1728,2004-01-19 20:34:44.74,34.23,-97.831,5,,,,,JEFFERSON,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E610000077BE9F1A2F7558C03D0AD7A3701D4140,,
1729,2004-01-21 08:04:46.7,35.51,-96.748,5,,,,,LINCOLN,OGS,1.5,M3Hz,OGS,,,,,,1.5,,,,,,,,0101000020E61000001D5A643BDF2F58C0E17A14AE47C14140,,
1730,2004-02-15 13:34:35.87,34.755,-96.523,5,,,,,PONTOTOC,OGS,1.8,M3Hz,OGS,,,,,,1.8,2.2,,,,,,,0101000020E6100000B6F3FDD4782158C0713D0AD7A3604140,,
1731,2004-03-17 08:38:38.27,34.806,-96.24,5,,,,,HUGHES,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E61000008FC2F5285C0F58C0BA490C022B674140,,
1732,2004-03-19 02:22:58.34,34.601,-95.887,5,,,,,ATOKA,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E610000054E3A59BC4F857C0B0726891ED4C4140,,
1733,2004-03-23 07:51:18.72,34.732,-96.672,5,,,,,PONTOTOC,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E61000005EBA490C022B58C004560E2DB25D4140,,
1734,2004-03-28 04:48:08.14,34.997,-97.769,5,,,,,GRADY,OGS,1.8,M3Hz,OGS,,,,,,1.8,2.2,,,,,,,0101000020E6100000F0A7C64B377158C0560E2DB29D7F4140,,
1735,2004-03-29 11:09:24.76,34.957,-98.733,5,,,,,KIOWA,OGS,2.4,M3Hz,OGS,,,,,,2.4,2.6,,,,,,,0101000020E6100000F4FDD478E9AE58C0D122DBF97E7A4140,,
1736,2004-04-05 09:22:31.93,33.911,-95.378,5,,,,,CHOCTAW,OGS,1.8,M3Hz,OGS,,,,,,1.8,1.8,,,,,,,0101000020E6100000D578E92631D857C0F853E3A59BF44040,,
1737,2004-04-05 17:25:15.98,34.747,-97.609,5,,,,,GARVIN,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E6100000E5D022DBF96658C0560E2DB29D5F4140,,
1738,2004-04-11 08:39:23.29,34.545,-96.514,5,,,,,PONTOTOC,OGS,1.7,Md,OGS,,,,,,,1.7,,,,,,,0101000020E610000037894160E52058C0F6285C8FC2454140,,
1739,2004-04-12 01:20:15.02,34.814,-97.582,5,,,,,GARVIN,OGS,2.3,M3Hz,OGS,,,,,,2.3,2.3,,,,,,,0101000020E61000006891ED7C3F6558C0D578E92631684140,,
1740,2004-04-22 16:13:02.25,34.804,-97.677,5,,,,,GRADY,OGS,2.7,M3Hz,OGS,,,2.9,,,2.7,,,,,5,,,0101000020E610000017D9CEF7536B58C0F4FDD478E9664140,,
1741,2004-05-17 17:46:13.54,34.155,-97.007,5,,,,,CARTER,OGS,1.7,M3Hz,OGS,,,,,,1.7,,,,,,,,0101000020E61000009CC420B0724058C0A4703D0AD7134140,,
1742,2004-05-29 02:00:44.66,34.951,-96.907,5,,,,,PONTOTOC,OGS,0.9,M3Hz,OGS,,,,,,0.9,1.1,,,,,,,0101000020E6100000355EBA490C3A58C07D3F355EBA794140,,
1743,2004-05-29 02:19:40.44,34.715,-95.79,5,,,,,PITTSBURG,OGS,1,M3Hz,OGS,,,,,,1,1.1,,,,,,,0101000020E6100000C3F5285C8FF257C0EC51B81E855B4140,,
1744,2004-05-31 03:53:38.14,34.41,-98.005,5,,,,,STEPHENS,OGS,1.6,M3Hz,OGS,,,,,,1.6,,,,,,,,0101000020E6100000B81E85EB518058C014AE47E17A344140,,
1745,2004-06-08 00:15:08.38,34.041,-97.307,5,,,,,LOVE,OGS,3.5,M3Hz,OGS,,,3.7,3.5,,3.5,,,,,6,,,0101000020E6100000CFF753E3A55358C06891ED7C3F054140,,
1746,2004-06-09 11:20:26.48,34.859,-97.601,5,,,,,MCCLAIN,OGS,2.1,M3Hz,OGS,,,1.9,,,2.1,2,,,,,,,0101000020E61000005839B4C8766658C0CBA145B6F36D4140,,
6074,2004-06-10 12:30:09.86,34.236,-97.267,5,,,,0,,USGS,2.9,mbLg,USGS,,,,2.9,,,,,,,,,,0101000020E61000000C022B87165158C091ED7C3F351E4140,,
1747,2004-06-13 00:52:06.58,35.656,-95.658,5,,,,,MUSKOGEE,OGS,1.4,M3Hz,OGS,,,,,,1.4,1.8,,,,,,,0101000020E6100000273108AC1CEA57C08716D9CEF7D34140,,
