id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
1853,2008-01-02 01:17:20.76,34.882,-96.061,5,,,,,PITTSBURG,OGS,2.4,Md,OGS,,,,,,,2.4,,,,,,,0101000020E610000096438B6CE70358C037894160E5704140,,
1854,2008-01-04 08:13:00.86,34.496,-96.05,5,,,,,ATOKA,OGS,2.5,Md,OGS,,,,,,,2.5,,,,,,,0101000020E610000033333333330358C0736891ED7C3F4140,,
1855,2008-01-07 19:43:17.31,34.668,-97.56,5,,,,,GARVIN,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E6100000A4703D0AD76358C02FDD240681554140,,
1856,2008-01-17 08:38:58.66,33.978,-96.444,5,,,,,BRYAN,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E610000023DBF97E6A1C58C077BE9F1A2FFD4040,,
1857,2008-01-26 04:53:06.76,34.206,-96.257,5,,,,,ATOKA,OGS,2.3,Md,OGS,,,,,,,2.3,,,,4,,,0101000020E61000009CC420B0721058C0EE7C3F355E1A4140,,
1858,2008-02-05 13:05:06.85,34.705,-97.508,5,,,,,GARVIN,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E61000008D976E12836058C00AD7A3703D5A4140,,
1859,2008-02-15 01:12:20.99,34.19,-96.202,5,,,,,ATOKA,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E6100000B0726891ED0C58C0B81E85EB51184140,,
1860,2008-02-15 15:41:05.68,34.166,-96.294,5,,,,,ATOKA,OGS,2.4,Md,OGS,,,,,,,2.4,,,,4,,,0101000020E6100000894160E5D01258C06891ED7C3F154140,,
1861,2008-02-17 15:14:21.48,34.148,-96.346,5,,,,,BRYAN,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E6100000A01A2FDD241658C06DE7FBA9F1124140,,
1862,2008-02-27 04:02:20.07,36.014,-97.413,5,,,,,LOGAN,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E6100000DF4F8D976E5A58C06F1283C0CA014240,,
1863,2008-03-10 04:46:15.55,34.67,-95.975,5,,,,,ATOKA,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E61000006666666666FE57C0F6285C8FC2554140,,
1864,2008-03-12 09:56:45.47,34.65,-95.998,5,,,,,ATOKA,OGS,2.1,Md,OGS,,,,,,,2.1,,,,,,,0101000020E61000001D5A643BDFFF57C03333333333534140,,
1865,2008-03-16 16:04:45.16,35.559,-95.777,5,,,,,OKMULGEE,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E61000007D3F355EBAF157C0643BDF4F8DC74140,,
1866,2008-05-03 01:39:49.68,36.408,-97.613,5,,,,,GARFIELD,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E6100000AC1C5A643B6758C04E62105839344240,,
1867,2008-05-06 14:50:34.99,34.992,-96.021,5,,,,,PITTSBURG,OGS,2.6,Md,OGS,,,,,,,2.6,,,,,,,0101000020E6100000D34D6210580158C0E5D022DBF97E4140,,
1868,2008-06-05 06:12:22.98,35.445,-97.506,4.8,,,,,OKLAHOMA,OGS,2.5,Md,OGS,,,,,,,2.5,,,,,,,0101000020E6100000AAF1D24D626058C0295C8FC2F5B84140,,
1869,2008-06-09 02:16:02.19,35.809,-96.985,5,,,,,LINCOLN,OGS,2.5,Md,OGS,,,,,,,2.5,,,,,,,0101000020E6100000D7A3703D0A3F58C0643BDF4F8DE74140,,
1870,2008-06-09 22:59:46.48,35.882,-97.02,5,,,,,LINCOLN,OGS,3.1,Md,OGS,,,,,,,3.1,,,,4,,,0101000020E6100000E17A14AE474158C037894160E5F04140,,
6077,2008-06-22 02:18:04.31,35.82,-97.07,5,,,,0,,USGS,2.9,mbLg,USGS,,,,2.9,,,,,,,,,,0101000020E610000014AE47E17A4458C0295C8FC2F5E84140,,
6078,2008-10-21 19:05:15.15,35.677,-97.131,5,,,,0,,USGS,2.7,mbLg,USGS,,,,2.7,,,,,,,,,,0101000020E6100000AAF1D24D624858C02DB29DEFA7D64140,,
1871,2008-10-21 19:05:39,35.033,-97.181,5,,,,,CLEVELAND,OGS,2.7,Md,OGS,,,,,,,2.7,,,,,,,0101000020E6100000DD240681954B58C04E62105839844140,,
1872,2008-10-28 09:06:51,34.886,-97.246,5,,,,,MCCLAIN,OGS,2.8,mbLg,USGS,,,,2.8,,,2.8,,,,,,,0101000020E610000039B4C876BE4F58C0C520B07268714140,,
1873,2008-10-30 16:25:00,35.443,-97.118,5,,,,,POTTAWATOMIE,OGS,3.1,mbLg,USGS,,,,3.1,,,3.1,,,,,,,0101000020E6100000643BDF4F8D4758C062105839B4B84140,,
1874,2008-12-02 02:49:37,35.573,-97.568,5,,,,,OKLAHOMA,OGS,2.7,mbLg,USGS,,,,2.7,,,2.7,,,,3,,,0101000020E61000003108AC1C5A6458C0D34D621058C94140,,
